country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy,faixa_gdp,faixa_renovavel
Algeria,1965,DZA,12381262.0,35661975552.0,,,,,,,,,,,,65.753,0.814,,,-2.174,-0.008,29.589,0.366,,3.278,,,,,,2005.664,0.696,,,,,1910.132,23.65,,95.237,,,7.431,,,600.141,197.886,19.428,2362.162,29.247,,29.922,,,,1.183,32.307,0.4,95.531,,4.763,,,1.183,0.0,0.0,95.531,,4.763,,,,,0.0,0.0,0.0,0.0,,0.0,,,15.405,,,1244.239,-1.32,-4.067,24553.25,304.0,,62.036,,,,,,,,,,,,,24.833,,,1.183,,,95.531,,4.763,,,,,,,,,,,,,,,,,Baixo PIB,Baixa
Algeria,1966,DZA,12613398.0,33932634112.0,,,,,,,,,,-2.857,-0.023,62.698,0.791,,,-91.111,-0.334,2.582,0.033,,2.651,,,,20.134,5.0,2365.146,0.879,21.704,5.133,,,2281.922,28.783,,96.481,3.886,0.289,7.719,,,611.988,20.459,5.984,2793.076,35.23,,25.875,,-11.25,-0.133,1.05,28.145,0.355,83.224,,3.519,-11.25,-0.133,1.05,0.0,0.0,83.224,,3.519,,,,0.0,0.0,0.0,0.0,0.0,,0.0,31.596,4.867,20.273,,,1607.236,28.705,87.262,31019.555,391.262,,67.955,,,,,,,,,,,,,29.833,-11.25,-0.133,1.05,,,83.224,,3.519,,,,,,,,,,,,,,,,,Baixo PIB,Baixa
Algeria,1967,DZA,12897121.0,37094768640.0,,,,,,,,,,-23.529,-0.186,46.891,0.605,,,325.0,0.106,10.731,0.138,,2.141,,,,-5.313,-1.585,2190.21,0.761,-6.072,-1.748,,,2096.207,27.035,,95.708,-2.993,-0.231,7.488,,,580.614,-17.608,-6.203,2250.637,29.027,,26.51,,15.493,0.163,1.212,31.79,0.41,94.003,,4.292,15.493,0.163,1.212,0.0,0.0,94.003,,4.292,,,,0.0,0.0,0.0,0.0,0.0,,0.0,-6.564,-1.331,18.942,,,1468.702,14.87,58.182,34848.41,449.444,,67.058,,,,,,,,,,,,,28.247,15.493,0.163,1.212,,,94.003,,4.292,,,,,,,,,,,,,,,,,Baixo PIB,Baixa
Algeria,1968,DZA,13190979.0,41423888384.0,,,,,,,,,,5.769,0.035,48.491,0.64,,,-100.0,-0.138,0.0,0.0,,2.108,,,,7.426,2.098,2300.435,0.733,6.085,1.645,,,2174.229,28.68,,94.514,5.141,0.385,7.873,,,596.866,43.795,12.712,3164.201,41.739,,25.946,,37.317,0.452,1.665,42.681,0.563,126.206,,5.486,37.317,0.452,1.665,0.0,0.0,126.206,,5.486,,,,0.0,0.0,0.0,0.0,0.0,,0.0,6.469,1.225,20.167,,,1528.871,9.777,43.944,37403.453,493.388,,66.46,,,,,,,,,,,,,30.345,37.317,0.452,1.665,,,126.206,,5.486,,,,,,,,,,,,,,,,,Baixo PIB,Baixa
Algeria,1969,DZA,13491022.0,45387460608.0,,,,,,,,,,27.273,0.174,60.344,0.814,,,,0.155,11.465,0.155,,2.427,,,,10.526,3.194,2486.038,0.739,13.22,3.792,,,2406.913,32.472,,96.817,31.479,2.478,10.352,,,767.302,-15.389,-6.423,2617.716,35.316,,30.864,,-35.879,-0.597,1.067,26.759,0.361,79.125,,3.183,-35.879,-0.597,1.067,0.0,0.0,79.125,,3.183,,,,0.0,0.0,0.0,0.0,0.0,,0.0,5.646,1.139,21.306,,,1579.267,4.743,23.4,38306.086,516.788,,63.525,,,,,,,,,,,,,33.539,-35.879,-0.597,1.067,,,79.125,,3.183,,,,,,,,,,,,,,,,,Baixo PIB,Baixa
Algeria,1970,DZA,13795915.0,49945669632.0,,,,,,,,,,18.571,0.151,69.969,0.965,,,-31.579,-0.049,7.671,0.106,,2.626,,,,9.6,3.22,2664.477,0.736,7.921,2.572,,,2540.161,35.044,,95.334,-5.997,-0.621,9.731,,,705.345,-30.965,-10.936,1767.199,24.38,,26.472,,60.665,0.648,1.715,42.041,0.58,124.316,,4.666,60.665,0.648,1.715,0.0,0.0,124.316,,4.666,,,,0.0,0.0,0.0,0.0,0.0,,0.0,14.277,3.042,24.348,,,1764.847,8.727,45.098,40728.426,561.886,,66.236,,,,,,,,,,,,,36.759,60.665,0.648,1.715,,,124.316,,4.666,,,,,,,,,,,,,,,,,Baixo PIB,Baixa
Algeria,1971,DZA,14110269.0,45701218304.0,,,,,,,,,,-72.289,-0.698,18.957,0.267,,,7.692,0.008,8.077,0.114,,0.673,,,,8.09,2.974,2815.882,0.869,10.596,3.713,,,2746.726,38.757,,97.544,13.551,1.319,11.049,,,783.082,5.409,1.319,1821.28,25.699,,27.809,,-43.103,-0.739,0.976,23.387,0.33,69.156,,2.456,-43.103,-0.739,0.976,0.0,0.0,69.156,,2.456,,,,0.0,0.0,0.0,0.0,0.0,,0.0,12.701,3.092,27.44,,,1944.686,-23.836,-133.929,30329.457,427.957,,69.061,,,,,,,,,,,,,39.733,-43.103,-0.739,0.976,,,69.156,,2.456,,,,,,,,,,,,,,,,,Baixo PIB,Baixa
Algeria,1972,DZA,14439750.0,55293906944.0,,,,,,,,,,-13.043,-0.035,16.108,0.233,,,-14.286,-0.016,6.765,0.098,,0.521,,,,12.37,4.915,3092.01,0.807,11.423,4.427,,,2990.643,43.184,,96.722,16.115,1.781,12.83,,,888.528,26.704,6.863,2254.982,32.561,,28.736,,50.0,0.488,1.464,34.28,0.495,101.367,,3.278,50.0,0.488,1.464,0.0,0.0,101.367,,3.278,,,,0.0,0.0,0.0,0.0,0.0,,0.0,9.772,2.681,30.121,,,2086.007,35.135,150.362,40050.484,578.319,,67.464,,,,,,,,,,,,,44.648,50.0,0.488,1.464,,,101.367,,3.278,,,,,,,,,,,,,,,,,Baixo PIB,Baixa
Algeria,1973,DZA,14786473.0,57097850880.0,,,,,,,,,,15.0,0.035,18.09,0.267,,,8.333,0.008,7.157,0.106,,0.502,,,,19.268,8.603,3601.31,0.933,18.161,7.843,,,3450.926,51.027,,95.824,39.197,5.029,17.859,,,1207.806,32.722,10.655,2922.688,43.216,,33.538,,51.919,0.76,2.224,50.857,0.752,150.384,,4.176,51.919,0.76,2.224,0.0,0.0,150.384,,4.176,,,,0.0,0.0,0.0,0.0,0.0,,0.0,9.226,2.779,32.9,,,2225.03,3.966,22.936,40662.508,601.255,,61.784,,,,,,,,,,,,,53.251,51.919,0.76,2.224,,,150.384,,4.176,,,,,,,,,,,,,,,,,Baixo PIB,Baixa
Algeria,1974,DZA,15153601.0,60577882112.0,,,,,,,,,,-17.391,-0.047,14.582,0.221,,,0.0,0.0,6.984,0.106,,0.375,,,,10.626,5.658,3887.454,0.972,12.566,6.412,,,3790.472,57.439,,97.505,15.764,2.815,20.674,,,1364.329,15.612,6.747,3297.129,49.963,,35.096,,-33.91,-0.754,1.47,32.797,0.497,96.982,,2.495,-33.91,-0.754,1.47,0.0,0.0,96.982,,2.495,,,,0.0,0.0,0.0,0.0,0.0,,0.0,11.074,3.643,36.544,,,2411.561,-7.475,-44.944,36711.453,556.311,,62.034,,,,,,,,,,,,,58.909,-33.91,-0.754,1.47,,,96.982,,2.495,,,,,,,,,,,,,,,,,Baixo PIB,Baixa
